inning,pitch_count,velocity_drop,earned_runs,pitch_type,pitcher_hand,batter_side,next_batter_side,batter_slugging,replace_decision
1,121,2.3802364271639114,2,Fastball,R,L,L,0.642006326935674,1
1,81,0.6728133690528484,6,Curveball,R,S,R,0.2218222301720511,1
9,65,0.040536915978098165,7,Fastball,R,L,S,0.544855693478045,0
9,106,3.2681831661109007,4,Curveball,R,L,L,0.46821215461838644,1
4,118,5.0384798856489414,3,Changeup,L,L,R,0.45788920076492295,1
9,58,2.657433999226506,0,Sinker,R,L,R,0.5105432475486373,1
3,72,6.693738923796982,1,Cutter,R,R,L,0.27420130439468376,1
7,99,5.732850204520401,5,Fastball,R,S,R,0.761270997668678,1
6,35,2.8012922557442614,5,Cutter,R,R,L,0.6228212657643755,1
8,123,5.874477332868837,4,Fastball,R,S,R,0.2509095711787745,1
9,89,7.5239018957539985,1,Fastball,R,R,S,0.24767576845383257,0
5,127,0.7447679883441367,4,Sinker,R,S,L,0.3263971212684645,1
1,66,2.448831681260935,7,Fastball,R,L,R,0.34383350095839504,1
3,28,3.7066075129335463,2,Curveball,R,L,R,0.49529017589991003,0
8,53,3.9839210220381487,1,Slider,R,R,L,0.5218732471139116,0
6,105,4.337565159088589,4,Curveball,R,R,S,0.28748467831886526,1
8,134,2.4050152523091883,4,Slider,L,L,L,0.7841191761012387,1
9,83,5.338077167858793,3,Sinker,R,R,R,0.6948613637696717,0
4,53,5.160676028238638,3,Sinker,L,R,L,0.580092640339681,0
1,31,4.622572050172911,6,Curveball,R,S,S,0.3667433012801735,0
1,116,0.9100937736870129,3,Slider,R,S,R,0.7462039780079519,0
4,140,3.815743128767556,6,Sinker,L,S,S,0.38914631281184586,1
7,106,2.8498150999150047,2,Fastball,L,R,S,0.39154232668797334,0
2,121,3.928307758704981,7,Fastball,L,L,R,0.41175561407090955,1
3,115,7.374931484120208,6,Slider,L,L,S,0.2287610519936523,1
1,133,3.8442507452672663,1,Slider,L,L,R,0.23711241073197942,1
5,66,0.11184633471609473,2,Cutter,L,L,S,0.4854819535096019,0
1,77,3.5106939046730474,0,Fastball,L,S,S,0.729052044680472,0
8,140,6.565185440395057,4,Curveball,R,S,R,0.7654248585669483,1
1,137,6.240487385745346,4,Cutter,L,R,S,0.6654309021026228,1
1,24,4.107120588225448,7,Slider,L,L,S,0.4426530755478062,0
2,115,1.9981521028745224,4,Sinker,L,R,S,0.3862949290527634,0
2,40,3.7207093033163607,3,Curveball,L,L,L,0.32942274029798996,0
6,147,4.509617755345533,4,Changeup,R,L,S,0.5230700275720248,1
7,143,7.998971506193071,6,Changeup,L,R,L,0.489476309620123,1
5,40,5.153424721355019,3,Sinker,L,S,R,0.48013804528202236,1
1,73,5.554119440500908,0,Changeup,L,R,R,0.38973377543056,1
1,123,3.9316331485444156,2,Sinker,L,R,R,0.5491561308020493,0
3,130,2.835916406260239,7,Curveball,L,L,L,0.5647590830307655,1
2,135,6.503623869177648,2,Sinker,R,S,R,0.7251167565558214,1
5,76,3.9594585947138894,6,Slider,R,R,R,0.656841946239658,1
6,147,7.957521039716201,2,Curveball,R,S,S,0.3979335061194669,1
7,139,3.6569645941443527,3,Cutter,L,S,L,0.42772213779031887,1
4,89,0.544002269180619,7,Cutter,L,S,L,0.3436999425722439,1
7,114,5.460625096720662,5,Changeup,R,S,L,0.30251132975045175,1
8,118,0.37313160740648854,5,Slider,R,L,R,0.26533493742507586,0
1,61,2.0040127750776264,1,Cutter,R,L,L,0.22047227222946394,0
6,89,2.8299060222392267,5,Fastball,R,L,R,0.45060901895336997,0
8,21,5.915868684970621,7,Fastball,R,L,R,0.7754731078247425,0
5,128,3.9538874112609026,1,Changeup,R,L,R,0.522806999478002,0
4,84,0.2291674504820529,0,Changeup,R,R,R,0.6452941291658701,1
2,89,4.934798810207377,1,Changeup,R,S,S,0.43863337649889933,1
6,88,3.291489899413299,0,Cutter,R,L,L,0.4306432147897075,0
6,140,7.374676079736857,4,Slider,R,S,L,0.2751214686984071,1
1,128,3.9964984891218833,6,Sinker,R,L,R,0.37991081247171277,1
9,79,5.671801167514712,2,Sinker,L,L,R,0.7572031743576682,1
6,112,1.7509479386363749,6,Changeup,R,R,R,0.4941209141310553,1
3,31,6.087788516253226,5,Curveball,L,S,S,0.3226056098535754,1
4,122,5.767642483869379,3,Changeup,L,L,R,0.5982522475257559,1
4,131,7.232653668330466,0,Sinker,L,L,L,0.44326874945310174,1
3,84,0.2705731337535937,7,Sinker,L,R,L,0.6964003853961436,1
3,67,3.580005580939609,7,Sinker,L,S,S,0.25569652545711685,1
3,107,5.433243221917041,5,Cutter,R,S,R,0.5130845295489195,1
4,81,0.7613112006417202,3,Slider,L,L,L,0.6807272785682141,0
7,63,3.284832537191299,3,Changeup,R,R,S,0.712269839075675,1
4,74,7.537172824529563,2,Fastball,R,R,L,0.43780748674378095,0
9,127,3.487475927129026,6,Changeup,R,L,S,0.6446246137080152,1
1,66,7.883238267845051,4,Changeup,R,S,R,0.7794258990433387,1
8,21,0.45471248863855696,4,Slider,L,L,L,0.5731567155666479,0
7,132,5.74263820912713,6,Curveball,L,S,L,0.6869540022964955,1
2,30,4.648129889986156,1,Changeup,L,R,R,0.5442497284131171,0
8,131,4.0043174170570035,5,Changeup,R,L,R,0.6741275682093859,1
1,109,7.766779211880075,4,Sinker,L,L,S,0.7644191165736605,1
9,74,1.037203203929029,2,Cutter,R,L,R,0.6268771543459712,1
9,36,7.167991613447307,5,Slider,L,S,L,0.29265719456707784,0
2,87,5.529923289092882,3,Cutter,R,S,L,0.24915205903453702,0
7,71,2.0719685863970616,0,Sinker,R,R,R,0.6872519268121444,0
3,116,7.213353165058347,0,Changeup,L,S,R,0.35501981738356997,0
7,67,3.434359342888106,7,Changeup,L,S,R,0.7251590797767342,1
9,48,6.513818624584567,7,Fastball,R,L,R,0.31769348444824325,1
4,46,3.1106921363791997,4,Cutter,L,R,L,0.7466280209969149,1
1,123,6.807446619465928,7,Sinker,R,R,S,0.6831292721761973,1
2,79,5.093032947560389,1,Slider,L,L,L,0.7287577475569977,1
1,125,1.1283730686698172,0,Changeup,R,S,L,0.33962444332981,1
5,88,5.197305307756221,1,Fastball,R,S,S,0.7271201889580192,0
5,133,1.530758101614981,0,Fastball,R,L,R,0.5525358886749396,0
7,40,3.2953810231533014,1,Curveball,L,L,S,0.2504049409260221,0
9,121,1.3623646740162698,6,Slider,R,S,L,0.7586243246989446,0
9,114,0.17612892533694868,1,Fastball,R,R,R,0.3167850668636963,0
3,124,1.69509231559966,3,Slider,R,L,R,0.3280992710883678,1
3,144,4.290976189793006,2,Changeup,L,S,R,0.6224185700711209,1
3,21,3.852487742218768,0,Curveball,L,L,R,0.5498385605267597,0
4,85,4.01197676428851,5,Sinker,R,R,R,0.7417948616009717,1
8,132,1.9814950275728105,4,Slider,L,R,R,0.38417251754244164,1
6,61,5.481289604913489,2,Sinker,R,S,S,0.22503286613120288,1
8,39,5.634106294562766,3,Curveball,R,R,R,0.7969996128921637,0
1,116,2.8637426044773244,3,Sinker,L,L,S,0.3876463216366721,1
8,87,7.049360707793395,3,Slider,R,R,S,0.297156073229693,1
4,94,5.152185733084383,4,Sinker,R,S,S,0.7906286671226441,1
1,144,5.704314202069054,7,Slider,L,L,R,0.5377362141437625,1
8,66,2.2187193435115153,7,Cutter,R,R,R,0.2893148612391084,0
4,24,0.00489308124469634,0,Curveball,R,R,R,0.7014928970503858,1
6,68,6.9230048968168765,0,Slider,L,R,R,0.7672513878540888,1
8,143,6.579395076638468,6,Cutter,R,S,L,0.728768013743609,1
4,56,0.9855351043426417,7,Cutter,R,S,L,0.319171601545243,0
3,38,2.992841079650452,6,Curveball,R,R,R,0.231612778557986,0
9,59,5.290714467108661,1,Changeup,R,L,L,0.42277980900646395,0
3,36,5.2168868577498255,1,Curveball,L,R,R,0.41290701231393734,1
9,118,6.882802678468452,5,Slider,R,L,R,0.44355145827094267,0
2,112,1.1221452930834284,1,Changeup,R,L,R,0.6793883917057886,1
2,61,3.4395179822809503,4,Curveball,L,S,R,0.20578793031765633,1
2,142,0.7777953434113982,2,Curveball,L,R,R,0.6048880768499043,1
6,126,3.116761987509025,6,Curveball,R,S,R,0.7910924188063555,1
3,91,0.12085956470163506,0,Curveball,L,R,R,0.439491917966091,0
9,84,7.186184520881016,1,Changeup,L,L,S,0.4910344621299002,1
4,128,4.216351974629449,6,Slider,R,S,S,0.5767850738455852,1
1,72,6.798418086418829,7,Cutter,R,S,L,0.3713503626570306,1
4,43,0.47923760802691007,4,Curveball,L,S,L,0.6311102433427481,0
1,47,1.819664883783365,4,Cutter,L,L,S,0.32179818502281904,1
5,81,2.075039961769445,7,Cutter,R,S,S,0.23887520459177147,0
4,36,3.0935319571103044,5,Cutter,R,R,S,0.6807973017684286,1
8,39,6.422930979180369,1,Curveball,L,R,L,0.3059111543132641,1
8,22,3.092462989851941,6,Curveball,L,L,R,0.6388961346026151,1
7,70,1.637228237170616,7,Sinker,R,S,L,0.7227846130066498,0
3,22,0.5199220827101474,6,Curveball,L,R,R,0.22746479782036644,0
1,92,0.6359339868214997,5,Curveball,L,S,R,0.6240174918268235,0
1,124,6.080377647687819,6,Fastball,L,R,L,0.5877413500288198,1
3,137,3.558423928293064,3,Slider,R,L,R,0.5743276786799159,1
6,53,5.809448976000122,3,Fastball,L,R,L,0.37721495241250436,1
7,81,5.45829697410958,3,Sinker,L,R,S,0.22737776826776704,0
6,139,1.0828996940820623,1,Changeup,R,R,S,0.2590916555903997,0
6,134,1.1431034735381376,4,Fastball,L,L,L,0.3637487882211844,1
6,32,6.042736123473071,4,Fastball,R,R,L,0.44371307080669925,1
3,88,5.770146347883338,0,Fastball,R,L,L,0.7508580131898273,1
6,96,3.024246134994483,6,Slider,R,L,L,0.610445273719505,0
8,20,0.6193781066627206,3,Cutter,R,R,R,0.21567095070454984,0
2,108,0.0967841735876176,1,Changeup,L,S,S,0.7518284742564316,1
5,66,2.305255595693959,0,Changeup,R,R,L,0.6322099924526452,1
1,23,0.0737781886978155,4,Slider,L,L,L,0.49554407883902474,1
1,29,1.8405809688296273,6,Sinker,R,S,S,0.4778091967355566,0
5,47,3.3560059216907083,6,Fastball,L,R,L,0.75990989678022,1
3,140,0.9713261224956335,0,Cutter,R,R,S,0.5300048974693725,1
4,145,0.83422206265237,3,Curveball,L,R,S,0.5016658008112197,1
3,81,7.171499485749893,7,Slider,R,R,L,0.6647746968868364,0
1,86,4.683760232183114,6,Sinker,R,R,R,0.5558694345799493,0
1,93,7.475645494102252,6,Cutter,R,S,L,0.34931647076231365,0
5,114,2.7666093102854337,7,Sinker,R,R,R,0.7993274473959295,1
6,55,5.417159498633305,6,Slider,R,L,L,0.3684677556656196,1
3,131,1.637533396974323,2,Slider,L,L,R,0.6098758913212032,1
9,132,4.94672253823953,3,Curveball,R,S,S,0.4938415510366442,1
5,129,1.0366858400798753,3,Sinker,R,L,S,0.27310033589348565,0
8,133,0.016645113410286072,1,Cutter,L,S,L,0.7753873289553237,0
1,86,7.452254411276632,2,Sinker,L,L,L,0.4014380043261341,1
5,145,4.4391550094016745,6,Sinker,R,S,R,0.5942101973294777,1
3,105,7.415525302256316,5,Fastball,R,R,R,0.642624241108537,1
1,38,2.6706521896165762,2,Sinker,R,L,R,0.43682949821511396,0
4,88,2.6222885532940543,2,Cutter,L,L,R,0.35644257167087035,1
5,29,3.2052400141842536,4,Cutter,L,S,R,0.23534177259189232,1
7,147,5.648327871665346,0,Fastball,R,S,L,0.7709386584597702,0
1,118,4.526469073489394,4,Curveball,R,S,S,0.5492486828980061,1
3,51,7.4028392567929435,5,Cutter,R,L,R,0.6298469710156727,0
2,131,0.20352720905951482,2,Sinker,L,S,S,0.4813112657543172,1
9,43,5.6655675037802915,1,Sinker,R,R,S,0.3399248755755594,1
6,54,2.6426215149324346,5,Fastball,R,S,L,0.7972476221721803,1
3,102,1.4418692145476895,6,Slider,R,R,R,0.7804375924272027,1
8,89,4.083164980160792,3,Slider,R,R,R,0.7159963295256679,1
8,128,4.040510273439968,7,Fastball,R,S,R,0.7496774808924633,1
2,118,1.0960882295074272,6,Slider,R,R,R,0.5450244579295558,1
6,52,1.6151684490631188,3,Cutter,R,R,L,0.42067293772743153,1
7,75,3.265317319212439,4,Fastball,L,R,L,0.40589147252272717,0
2,31,3.2704912991385227,6,Sinker,L,S,R,0.7602348608508533,0
2,30,2.5404651169574777,5,Cutter,L,S,R,0.7753193517887473,0
1,89,1.1883612120798475,4,Changeup,L,R,S,0.4642909873505485,0
8,60,0.034989432807836174,1,Curveball,L,L,S,0.5642540408368086,0
1,125,7.761880499424165,3,Sinker,R,R,R,0.6831618089962027,1
9,22,7.547993837631416,6,Sinker,L,S,R,0.6215048400519922,0
6,22,3.8692030334090814,4,Curveball,R,R,S,0.7218071096885452,1
7,103,7.960414026200046,6,Curveball,L,R,S,0.5651794480333496,1
7,126,5.389234646257946,0,Fastball,R,S,R,0.5494889528347234,0
3,39,0.5508603008603323,4,Changeup,L,S,S,0.4254685870283625,0
2,115,0.941745592661019,4,Curveball,L,L,L,0.24396683381293938,0
9,143,7.328886750957102,2,Cutter,R,R,S,0.23332528330520247,1
8,40,5.040417617197027,0,Sinker,L,R,R,0.29105055098905674,0
7,133,6.745469013258809,0,Curveball,R,R,L,0.23466385248668853,1
9,32,7.186157197070754,6,Changeup,R,L,L,0.5210864334836531,1
4,105,3.5835360902590887,1,Cutter,L,L,S,0.4421462707372107,1
4,54,0.3882076126135443,7,Cutter,L,R,R,0.21576529592032023,1
1,66,1.5062427911785763,6,Fastball,L,S,S,0.21313604852053272,1
8,144,0.5325755784194808,2,Fastball,R,R,S,0.5138093563257975,1
3,129,1.5099187655880586,0,Slider,L,R,S,0.5294679336448025,0
7,56,3.2842634116470144,2,Changeup,R,R,L,0.2223714235831734,0
2,40,0.9455744841198834,2,Cutter,L,S,S,0.6019926403351935,0
2,33,1.3338659824427461,3,Changeup,L,L,S,0.27552084299313584,0
7,110,3.5665742565734337,6,Curveball,R,L,S,0.49671039240461873,1
6,79,2.7213676031079164,0,Sinker,L,R,S,0.2952878170534525,0
3,143,3.741264993504328,3,Curveball,L,R,R,0.2234369643330662,0
9,42,3.4333762220724964,6,Sinker,R,R,R,0.3274191212442761,1
6,130,5.155824207839068,4,Slider,L,S,R,0.4784874635692613,1
6,143,7.497516391006836,7,Cutter,R,R,L,0.6463455675005088,1
1,49,0.8629147075539398,6,Sinker,L,S,R,0.35933469785576533,0
4,134,0.7940811944735593,4,Cutter,L,R,S,0.6110387274256435,1
6,109,6.822448888727216,3,Sinker,L,R,S,0.7176161717341463,0
6,57,4.051173637219673,4,Slider,L,R,R,0.3618666837339716,1
5,102,6.131240188547538,3,Curveball,R,L,L,0.5133356207267943,0
1,46,1.7233752288582513,6,Cutter,R,R,L,0.4456610899992084,0
8,123,6.630900585340414,1,Sinker,L,R,L,0.2164798553243889,1
5,135,7.390772993541567,7,Changeup,R,R,S,0.4351239736162584,1
5,34,5.083864124371906,2,Cutter,L,R,R,0.4263202265290883,0
7,22,0.8470321717904179,7,Sinker,R,S,L,0.57313805824754,1
4,29,7.162358513250711,1,Sinker,L,S,S,0.7198588075816839,0
6,139,6.339901818960571,0,Curveball,R,R,L,0.6031211505639764,0
4,147,6.007022212115919,1,Cutter,R,S,L,0.4132299877322706,1
3,30,0.2938255112473245,1,Cutter,R,R,R,0.46932232204540225,0
7,88,6.39170020205577,4,Fastball,R,R,S,0.7322953002102617,1
8,83,1.103608083746856,5,Sinker,L,S,L,0.5834013078340399,0
4,33,1.779089409575107,6,Cutter,R,S,S,0.433904768414614,0
2,69,4.61707867895406,7,Sinker,R,R,L,0.5600987120221553,1
3,91,2.1198461833350644,5,Slider,R,L,R,0.5865994078229306,1
1,88,5.290785650495358,7,Slider,R,R,L,0.4893652324467895,0
8,146,4.864563581592653,3,Changeup,R,R,R,0.7192284836132332,1
3,35,0.865196784106101,0,Cutter,R,L,L,0.6876336317772369,1
7,97,5.248116636732051,5,Changeup,R,S,R,0.514646499484807,1
5,120,7.39163927859944,4,Curveball,L,L,L,0.7750122973256415,1
5,75,1.288879241486665,0,Sinker,L,R,L,0.7719293014924677,0
7,124,4.776496167543099,7,Curveball,L,S,L,0.7796379114697336,1
9,67,2.7349229754935527,2,Fastball,R,L,S,0.33230405567116805,1
5,36,3.6768933741888317,3,Fastball,R,L,S,0.2620245366323936,0
1,130,2.2960014326317593,4,Cutter,L,R,L,0.5714574867581116,1
1,89,2.833045090781562,1,Cutter,L,L,S,0.6365410160427795,0
2,99,0.23129458613245824,6,Changeup,L,R,S,0.3841982654539896,0
6,112,7.852413903337765,2,Changeup,R,S,L,0.522607095512003,0
9,57,4.998399376581986,1,Cutter,L,L,L,0.5887172569662241,0
8,120,4.005644723951082,5,Cutter,L,S,L,0.4780182168713951,1
5,81,3.0697227960026137,6,Fastball,R,S,S,0.5248048165742472,1
1,140,4.314996470592221,0,Fastball,L,R,S,0.24511657040550552,0
7,67,3.0408479897264318,2,Fastball,L,L,S,0.7964604584661961,1
5,29,2.8792634199493863,6,Cutter,R,S,L,0.42720549700280186,1
6,55,3.711572333776105,6,Changeup,R,L,S,0.32313949918817864,1
7,23,2.2078642693695265,4,Slider,L,L,S,0.48800916547438045,0
3,63,1.4403991997342835,1,Slider,L,L,R,0.3904779299501351,1
3,75,4.452847185442348,5,Changeup,L,L,R,0.4349143078014713,1
5,61,6.742123489202409,1,Changeup,L,S,L,0.5377204665816233,1
6,133,1.2226254218071384,0,Changeup,R,L,L,0.36706038160585586,0
9,40,0.2618747248337492,0,Fastball,R,R,S,0.5998883882201146,0
5,98,1.9744939612322892,5,Curveball,R,R,R,0.4590400905082025,1
1,88,7.837765147630487,3,Cutter,R,L,R,0.25048735530883265,0
4,89,6.6300645899467145,7,Fastball,R,L,L,0.7321518773746278,1
5,86,4.7669284282287725,5,Slider,R,R,S,0.4864319020146055,1
5,67,7.433991321945087,7,Cutter,L,L,L,0.7537592940145872,0
7,55,3.562232934697957,3,Changeup,L,S,S,0.42838530433423927,0
4,46,7.866244820601391,5,Sinker,L,L,R,0.5255872295676592,1
1,91,2.3704163609542723,5,Slider,R,L,S,0.7241370827831521,0
5,120,1.9224459961275127,0,Changeup,L,S,R,0.4773293770553238,0
7,115,5.104385609176088,7,Sinker,R,L,R,0.5798771253465664,1
6,147,3.025231743602883,3,Changeup,R,S,R,0.3482351104078508,1
